fam;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31;a32;a33;a34;a35;a36;a37;a38;a39;teacher
id-2;0,4;0,4;0,09;0,16;0,65;-0,78;-0,5;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
id-3;0,6;0,6;0,24;0,16;-0,25;-0,78;-0,5;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-4;0,2;0,6;0,28;0,2;-0,25;-1;-1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-5;0,6;0,6;0,14;0,11;-0,35;-0,11;-0,5;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5
id-10;0,4;0,6;0,36;0,2;-0,3;-1;-1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-13;0,6;0,6;0,35;0,29;-0,3;-0,11;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-14;0,6;0,6;0,25;0,24;-0,4;-0,56;-0,5;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-15;0,4;0,4;0,31;0,2;-0,3;-0,78;-1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-16;0;0,2;0;0,11;-0,3;-0,33;-0,5;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
id-18;0,4;0,4;0,32;0,29;-0,3;-1;-1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-19;0,2;0,6;0,17;0,2;-0,3;-1;-1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-20;0,6;0,6;-0,03;0,29;-0,3;-0,78;-1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-21;0,6;0,6;0,08;0,11;-0,4;-0,11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-22;0,4;0,4;-0,19;0,07;-0,35;-1;-1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-23;0,4;0,4;0,07;0,11;-0,3;-0,56;-1;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-24;0,2;0,6;0,4;0,2;-0,25;-0,78;-0,5;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5
id-25;0,4;0,6;0,11;0,16;-0,3;-0,33;-0,5;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-29;0;0,6;0,44;0,29;-0,3;-1;-1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-32;0,6;0,8;-0,1;1,4;-0,4;-0,11;-0,5;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-33;0,6;0,6;-0,06;0,38;-0,15;-0,56;-0,5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-35;0,4;0,8;0,42;0,29;-0,25;-0,78;-0,5;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-37;0,4;0,6;0,39;0,24;-0,25;-1;-1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-39;0,4;0,4;0,35;0,2;-0,3;-1;-1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;5
id-40;-0,6;0,6;-0,13;0,02;-0,25;-0,78;-1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-41;0,6;0,6;0,3;0,11;-0,3;-1;-1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
id-42;0,6;0,8;0,13;0,11;-0,35;-1;-1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-43;0,4;0,6;-0,19;-0,07;-0,4;-0,11;-0,5;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-44;0,4;0,4;0;0,11;-0,35;-0,78;-1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-46;0,4;0,6;0,49;0,24;-0,25;-0,33;-0,5;1;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;5
id-47;0,4;0,6;-0,15;0,02;-0,4;-1;-1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-48;0,2;0,6;-0,02;0,07;-0,35;-0,78;-0,5;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-50;0,6;0,6;0,15;0,42;-0,25;-0,78;-1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-52;0,6;1;0,46;0,24;-0,25;-0,33;-0,5;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5
id-53;0,4;0,8;0,18;0,16;-0,35;-0,56;-0,5;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-54;0,4;0,4;0,02;0,16;-0,3;-1;-1;1;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
id-55;0,8;0,8;0,63;0,33;-0,2;-0,78;-0,5;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
id-56;0;0,2;0,35;0,51;-0,15;-1;-1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-58;0,4;0,4;0,17;0,2;-0,3;-0,78;-1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-59;0,4;0,6;0,47;0,2;-0,2;-0,78;-0,5;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-60;0,4;0,4;0,3;0,24;-0,3;-0,56;-1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-65;0,6;0,8;0,2;0,11;-0,3;-1;-1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-66;0,2;0,6;0,31;0,24;-0,3;-1;-1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5
id-67;0,4;0,6;0,33;0,24;-0,25;-1;-1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-69;0,6;0,6;0,04;0,16;-0,25;-1;-1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-70;0,6;0,8;-0,45;0,24;-0,45;-1;-1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
id-71;0,4;0,4;0,43;0,2;-0,3;-1;-1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5
id-72;0,2;0,4;0,04;-0,02;-0,35;-0,78;-1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-73;0,4;0,6;0,35;0,24;-0,35;-0,78;-0,5;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-74;0,4;0,6;0,04;0,07;-0,35;-0,33;-0,5;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
id-76;0,6;0,8;0,09;0,16;-0,35;-0,56;-0,5;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
